City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
87,vicksburg,40,US,1525554900,57,32.35,-90.88,77.0,3.36
88,akom,36,GH,1525555906,76,6.86,-1.64,80.63,9.57
89,lalsk,92,RU,1525555886,93,60.74,47.59,40.94,13.27
90,touros,80,BR,1525555886,83,-5.2,-35.46,80.9,13.67
91,general roca,90,AR,1525554000,77,-39.03,-67.58,59.0,5.82
92,vestmannaeyjar,88,IS,1525555887,89,63.44,-20.27,40.94,24.07
93,mareeba,75,AU,1525554000,78,-16.99,145.42,73.4,18.34
94,puerto ayora,75,EC,1525554000,69,-0.74,-90.35,82.4,14.99
95,dunedin,0,NZ,1525555866,88,-45.87,170.5,37.7,2.48
96,derby,0,GB,1525553400,72,52.92,-1.48,62.6,3.36
97,gat,0,SN,1525555888,41,14.69,-16.54,77.57,14.45
98,shobu,1,JP,1525553760,54,36.07,139.6,62.6,3.36
99,the valley,20,AI,1525554000,69,18.22,-63.06,82.4,18.34
100,yumen,0,CN,1525555889,52,40.29,97.04,39.77,3.71
101,khatanga,0,RU,1525555889,56,71.98,102.47,-0.73,3.31
102,aykhal,32,RU,1525555606,64,65.95,111.51,10.07,2.82
103,grindavik,75,IS,1525554000,69,63.84,-22.43,39.2,25.28
104,lahti,0,FI,1525551600,81,60.98,25.66,42.8,2.26
105,panama city,1,US,1525553760,69,30.16,-85.65,82.4,14.99
106,farafangana,88,MG,1525555890,100,-22.82,47.83,71.0,9.24
107,hithadhoo,92,MV,1525555890,100,-0.6,73.08,82.97,1.74
108,coihueco,0,CL,1525554000,49,-36.63,-71.83,71.6,6.93
109,baloda,100,IN,1525555891,32,22.15,82.48,90.17,10.02
110,mandiana,76,GN,1525555891,55,10.62,-8.7,85.67,2.98
111,ayr,20,GB,1525553400,87,55.46,-4.63,53.6,2.24
112,shelburne,90,CA,1525552980,55,44.08,-80.2,71.6,17.22
113,cholet,0,FR,1525554000,72,47.06,-0.88,62.6,6.93
114,bayan,0,MN,1525555892,67,47.25,107.54,25.28,3.09
115,turukhansk,68,RU,1525555892,77,65.8,87.96,15.92,6.73
116,plettenberg bay,0,ZA,1525555892,97,-34.05,23.37,59.57,4.83
117,kardla,0,EE,1525553400,86,58.44,26.57,39.2,3.87
118,awbari,0,LY,1525555893,24,26.59,12.77,70.01,7.11
119,kwekwe,0,ZW,1525555893,53,-18.93,29.81,58.04,9.91
120,pisco,0,PE,1525554000,82,-13.71,-76.2,68.0,5.82
